datapath cp-bwm table  


Datapath CP Bandwidth Management Table Entries
-------------------------------------------
CPU  Contract     Rate      Policed    Avail Credits  Queued Bytes/Pkts
---  --------  ----------  ----------  -------------  -----------------
11   15783        320 pps           0             10         0/0      
11   15784       8000 pps           0            250         0/0      
11   15785       2016 pps           0             63         0/0      
11   15786       2016 pps           0             63         0/0      
11   15787       8000 pps           0            250         0/0      
11   15788       1024 pps           0             32         0/0      
11   15789        128 pps           0              4         0/0      
11   15790       1024 pps           0             32         0/0      
11   15791        512 pps           0             16         0/0      
11   15792        512 pps           0             16         0/0      
11   15793       1024 pps           0             32         0/0      
11   15794       2016 pps           0             63         0/0      
11   15795        320 pps           0             10         0/0      
11   15796        320 pps           0             10         0/0      
11   15797       8000 pps           0            250         0/0      
11   15798       2016 pps           0             63         0/0      
11   15799       2016 pps           0             63         0/0      
11   15800       8000 pps           0            250         0/0      
11   15801       1024 pps           0             32         0/0      
11   15802        128 pps           0              4         0/0      
11   15803       1024 pps           0             32         0/0      


11   15804        512 pps           0             16         0/0      
11   15805        512 pps           0             16         0/0      
11   15806       1024 pps           0             32         0/0      
11   15807       2016 pps           0             63         0/0      
11   15808        320 pps           0             10         0/0      

