rights  


RoleTable
---------
Name                        ACL  Bandwidth                                                          ACL List                                                                                                                                                                                              Type
----                        ---  ---------                                                          --------                                                                                                                                                                                              ----
BCCC-Device                 156  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-BCCC-Device-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                                  User
BCCC-Device-AMTC            132  Up: Guest-bw-10M (per role),Dn: Guest-bw-10M (per role)            global-sacl/,apprf-BCCC-Device-AMTC-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                             User
BCCC-Device-Android         131  Up: Guest-bw-15M (per role),Dn: Guest-bw-15M (per role)            global-sacl/,apprf-BCCC-Device-Android-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                          User
BCCC-Device-Culinary        163  Up: Student-bw-50M (per role),Dn: Student-bw-50M (per role)        global-sacl/,apprf-BCCC-Device-Culinary-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                         User
BCCC-Device-Faculty         152  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-BCCC-Device-Faculty-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                          User
BCCC-Device-ITS             126  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-BCCC-Device-ITS-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                              User
BCCC-Device-LBC             155  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-BCCC-Device-LBC-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                              User
BCCC-Device-LBCTS           162  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-BCCC-Device-LBCTS-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                            User
BCCC-Device-LBPSTC          138  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-BCCC-Device-LBPSTC-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                           User
BCCC-Device-LearnLBC        135  Up: Guest-Bw-Contract (per role),Dn: Guest-Bw-Contract (per role)  global-sacl/,apprf-BCCC-Device-LearnLBC-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                         User
BCCC-Device-LearnUBC        160  Up: Guest-bw-10M (per role),Dn: Guest-bw-10M (per role)            global-sacl/,apprf-BCCC-Device-LearnUBC-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                         User
BCCC-Device-Learning        129  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-BCCC-Device-Learning-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                         User
